,genes_0,genes_1,x,y,cluster
175874,21305.691,20417.219,20707.0,9831.0,725.0
175884,21172.84,20610.092,20715.0,9661.0,725.0
175885,21905.566,20550.203,20715.0,9858.0,142.0
175898,19875.0,22695.0,20697.0,8603.0,143.0
175914,22133.715,20124.986,20725.0,9712.0,725.0
175915,22127.652,19976.818,20729.0,9809.0,144.0
175921,20240.469,21997.87,20722.0,9729.0,237.0
175955,22333.635,20130.809,20735.0,9647.0,731.0
175971,20606.82,21191.002,20738.0,9698.0,725.0
175976,22053.93,20109.562,20748.0,9620.0,725.0
175990,20869.436,21714.512,20741.0,9849.0,145.0
176000,20581.326,21322.182,20745.0,9575.0,725.0
176001,20523.018,21265.17,20742.0,9825.0,725.0
176032,22585.441,20101.566,20720.0,9780.0,138.0
176042,21261.621,20527.998,20740.0,9588.0,725.0
176043,20923.426,20807.668,20762.0,9752.0,725.0
176044,20258.752,21929.932,20754.0,9772.0,237.0
176067,20036.678,22427.781,20759.0,9525.0,146.0
176074,20500.812,21379.79,20757.0,10062.0,147.0
176080,20396.844,21633.133,20761.0,9694.0,148.0
176083,21125.748,20612.371,20756.0,9674.0,725.0
176092,20605.34,21272.02,20766.0,9606.0,725.0
176093,22001.7,20186.36,20774.0,9717.0,725.0
176100,22047.787,20223.791,20780.0,9832.0,725.0
176101,20163.63,22207.023,20767.0,10012.0,237.0
176116,20742.902,21055.092,20776.0,9619.0,725.0
176130,20925.96,20710.863,20784.0,9648.0,149.0
176131,21271.52,20516.957,20776.0,9771.0,725.0
176137,21169.299,20541.465,20776.0,9576.0,725.0
176138,20345.898,22198.836,20775.0,9850.0,150.0
176145,20594.79,21182.766,20779.0,9739.0,725.0
176163,20451.484,21374.996,20784.0,9663.0,725.0
176164,21763.684,20153.287,20770.0,9811.0,151.0
176213,20891.951,20864.46,20778.0,9594.0,725.0
176216,21804.756,20221.852,20808.0,9628.0,725.0
176217,21513.936,20179.139,20798.0,9739.0,129.0
